優先度,日本語,品詞,カテゴリ,英単語,カタカナ読み,過去形,過去分詞,類義語
37,止まる,動詞,基本動詞,stop,ストップ,stopped,stopped,halt,pause
38,歩く,動詞,日常生活,walk,ウォーク,walked,walked,stroll,step
39,走る,動詞,日常生活,run,ラン,ran,run,sprint,dash
40,座る,動詞,日常生活,sit,シット,sat,sat,take a seat,settle
41,立つ,動詞,日常生活,stand,スタンド,stood,stood,rise,get up
42,寝る,動詞,日常生活,sleep,スリープ,slept,slept,rest,nap
43,起きる,動詞,日常生活,wake up,ウェイクアップ,woke up,woken up,get up,rise
44,住む,動詞,日常生活,live,リブ,lived,lived,reside,dwell
45,考える,動詞,基本動詞,consider,コンシダー,considered,considered,think,ponder
46,覚える,動詞,基本動詞,remember,リメンバー,remembered,remembered,memorize,learn
47,忘れる,動詞,基本動詞,forget,フォーゲット,forgot,forgotten,lose track,overlook
48,教える,動詞,教育,teach,ティーチ,taught,taught,instruct,show
49,学ぶ,動詞,教育,learn,ラーン,learned,learned,study,acquire
50,待つ,動詞,基本動詞,wait,ウェイト,waited,waited,hold on,expect
51,送る,動詞,基本動詞,send,センド,sent,sent,ship,deliver
52,受ける,動詞,基本動詞,receive,リシーブ,received,received,accept,take
53,決める,動詞,基本動詞,decide,ディサイド,decided,decided,determine,settle
54,守る,動詞,基本動詞,protect,プロテクト,protected,protected,guard,defend
55,戦う,動詞,社会,fight,ファイト,fought,fought,battle,struggle
56,助ける,動詞,基本動詞,help,ヘルプ,helped,helped,assist,support
57,信じる,動詞,基本動詞,believe,ビリーブ,believed,believed,trust,have faith
58,感じる,動詞,基本動詞,feel,フィール,felt,felt,sense,perceive
59,調べる,動詞,基本動詞,check,チェック,checked,checked,investigate,research
60,探す,動詞,基本動詞,search,サーチ,searched,searched,look for,seek
61,見つける,動詞,基本動詞,find,ファインド,found,found,discover,locate
62,集める,動詞,基本動詞,collect,コレクト,collected,collected,gather,assemble
63,運ぶ,動詞,基本動詞,carry,キャリー,carried,carried,transport,move
64,着る,動詞,日常生活,wear,ウェア,wore,worn,put on,dress
65,洗う,動詞,日常生活,wash,ウォッシュ,washed,washed,clean,rinse
66,説明する,動詞,ビジネス,explain,イクスプレイン,explained,explained,describe,clarify
67,質問する,動詞,教育,ask,アスク,asked,asked,question,inquire
68,答える,動詞,教育,answer,アンサー,answered,answered,reply,respond
69,約束する,動詞,社会,promise,プロミス,promised,promised,pledge,vow
70,連絡する,動詞,ビジネス,contact,コンタクト,contacted,contacted,reach out,notify
71,発表する,動詞,ビジネス,announce,アナウンス,announced,announced,present,unveil
72,提案する,動詞,ビジネス,propose,プロポーズ,proposed,proposed,suggest,recommend
73,人,名詞,基本名詞,person,パーソン,,,human,individual
74,時間,名詞,基本名詞,time,タイム,,,hour,period
75,今日,名詞,基本名詞,today,トゥデイ,,,this day,
76,場所,名詞,基本名詞,place,プレイス,,,location,spot
77,学校,名詞,教育,school,スクール,,,academy,institution
78,会社,名詞,ビジネス,company,カンパニー,,,firm,business
79,仕事,名詞,ビジネス,job,ジョブ,,,work,task
80,家族,名詞,日常生活,family,ファミリー,,,household,relatives
81,友達,名詞,日常生活,friend,フレンド,,,buddy,companion
82,先生,名詞,教育,teacher,ティーチャー,,,instructor,educator
83,子供,名詞,日常生活,child,チャイルド,,,kid,youngster
84,お金,名詞,日常生活,money,マネー,,,cash,funds
85,車,名詞,日常生活,car,カー,,,vehicle,automobile
86,道,名詞,日常生活,road,ロード,,,street,path
87,国,名詞,社会,country,カントリー,,,nation,state
88,世界,名詞,社会,world,ワールド,,,globe,earth
89,政府,名詞,社会,government,ガバメント,,,administration,state
90,制度,名詞,社会,system,システム,,,framework,structure
91,社会,名詞,社会,society,ソサエティ,,,community,public
92,経済,名詞,社会,economy,エコノミー,,,market,finance
93,企業,名詞,ビジネス,corporation,コーポレーション,,,company,enterprise
94,会議,名詞,ビジネス,meeting,ミーティング,,,conference,session
95,計画,名詞,ビジネス,plan,プラン,,,project,scheme
96,問題,名詞,基本名詞,problem,プロブレム,,,issue,trouble
97,方法,名詞,基本名詞,method,メソッド,,,way,approach
98,理由,名詞,基本名詞,reason,リーズン,,,cause,motive
99,結果,名詞,基本名詞,result,リザルト,,,outcome,consequence
100,情報,名詞,基本名詞,information,インフォメーション,,,data,news
101,死ぬ,動詞,基本動詞,die,ダイ,died,died,pass away,perish
102,生まれる,動詞,基本動詞,be born,ビーボーン,was born,been born,come into being,
103,笑う,動詞,感情,laugh,ラフ,laughed,laughed,chuckle,giggle
104,泣く,動詞,感情,cry,クライ,cried,cried,weep,sob
105,怒る,動詞,感情,get angry,ゲットアングリー,got angry,gotten angry,get mad,fume
106,喜ぶ,動詞,感情,delight,ディライト,delighted,delighted,be pleased,rejoice
107,悲しむ,動詞,感情,grieve,グリーヴ,grieved,grieved,mourn,be sad
108,驚く,動詞,感情,surprise,サプライズ,surprised,surprised,be amazed,be astonished
109,疑う,動詞,感情,doubt,ダウト,doubted,doubted,suspect,question
110,選ぶ,動詞,基本動詞,choose,チューズ,chose,chosen,select,pick
111,比べる,動詞,基本動詞,compare,コンペア,compared,compared,contrast,measure against
112,加える,動詞,基本動詞,add,アド,added,added,include,append
113,減らす,動詞,基本動詞,reduce,リデュース,reduced,reduced,cut down,lower
114,増やす,動詞,基本動詞,raise,レイズ,raised,raised,boost,expand
115,上がる,動詞,基本動詞,rise,ライズ,rose,risen,go up,climb
116,下がる,動詞,基本動詞,decline,ディクライン,declined,declined,fall,drop
117,落ちる,動詞,基本動詞,fall,フォール,fell,fallen,drop,tumble
118,落とす,動詞,基本動詞,drop,ドロップ,dropped,dropped,let fall,lose
119,失う,動詞,基本動詞,lose,ルーズ,lost,lost,lose out on,forfeit
120,得る,動詞,基本動詞,gain,ゲイン,gained,gained,obtain,acquire
121,与える,動詞,基本動詞,give,ギブ,gave,given,grant,provide
122,貸す,動詞,日常生活,lend,レンド,lent,lent,loan,rent out
123,借りる,動詞,日常生活,borrow,ボロウ,borrowed,borrowed,rent,take on loan
124,返す,動詞,日常生活,return,リターン,returned,returned,give back,pay back
125,続ける,動詞,基本動詞,keep,キープ,kept,kept,continue,carry on
126,止める,動詞,基本動詞,halt,ホルト,halted,halted,stop,pause
127,出す,動詞,基本動詞,put out,プットアウト,put out,put out,take out,submit
128,入れる,動詞,基本動詞,put in,プットイン,put in,put in,insert,add in
129,掛ける,動詞,日常生活,hang,ハング,hung,hung,put on,apply
130,掛かる,動詞,ビジネス,cost,コスト,cost,cost,take (time),require
131,起こる,動詞,基本動詞,occur,オカー,occurred,occurred,happen,take place
132,起こす,動詞,基本動詞,cause,コーズ,caused,caused,bring about,wake someone
133,通う,動詞,日常生活,commute,コミュート,commuted,commuted,go regularly,attend
134,着く,動詞,日常生活,arrive,アライブ,arrived,arrived,reach,get to
135,離れる,動詞,基本動詞,separate,セパレート,separated,separated,part,move away
136,近づく,動詞,基本動詞,approach,アプローチ,approached,approached,get closer,near
137,戻る,動詞,基本動詞,go back,ゴーバック,went back,gone back,return,come back
138,進む,動詞,基本動詞,advance,アドバンス,advanced,advanced,move forward,proceed
139,遅れる,動詞,日常生活,delay,ディレイ,delayed,delayed,be late,fall behind
140,急ぐ,動詞,日常生活,hurry,ハリー,hurried,hurried,rush,hasten
141,慣れる,動詞,日常生活,get used to,ゲットユーズドトゥ,got used to,gotten used to,adapt,become accustomed
142,頑張る,動詞,感情,try hard,トライハード,tried hard,tried hard,do one's best,persevere
143,諦める,動詞,感情,give up,ギブアップ,gave up,given up,abandon,quit
144,許す,動詞,社会,forgive,フォーギブ,forgave,forgiven,pardon,excuse
145,謝る,動詞,社会,apologize,アポロジャイズ,apologized,apologized,say sorry,express regret
146,褒める,動詞,教育,praise,プレイズ,praised,praised,compliment,commend
147,叱る,動詞,教育,scold,スコールド,scolded,scolded,tell off,reprimand
148,育てる,動詞,日常生活,nurture,ナーチャー,nurtured,nurtured,raise,bring up
149,育つ,動詞,日常生活,grow up,グロウアップ,grew up,grown up,develop,mature
150,壊れる,動詞,基本動詞,break,ブレイク,broke,broken,fall apart,malfunction
151,壊す,動詞,基本動詞,destroy,デストロイ,destroyed,destroyed,break,wreck
152,直す,動詞,基本動詞,fix,フィックス,fixed,fixed,repair,correct
153,直る,動詞,基本動詞,recover,リカバー,recovered,recovered,be fixed,heal
154,痛む,動詞,健康,hurt,ハート,hurt,hurt,ache,be painful
155,治す,動詞,健康,cure,キュア,cured,cured,heal,treat
156,気持ち,名詞,感情,feeling,フィーリング,,,emotion,sentiment
157,心配,名詞,感情,worry,ウォーリー,,,concern,anxiety
158,幸せ,名詞,感情,happiness,ハピネス,,,joy,bliss
159,夢,名詞,抽象概念,dream,ドリーム,,,aspiration,vision
160,希望,名詞,抽象概念,hope,ホープ,,,wish,expectation
161,未来,名詞,抽象概念,future,フューチャー,,,tomorrow,days ahead
162,過去,名詞,抽象概念,past,パスト,,,history,bygone days
163,現在,名詞,抽象概念,present,プレゼント,,,now,current time
164,目標,名詞,ビジネス,goal,ゴール,,,target,objective
165,目的,名詞,ビジネス,purpose,パーパス,,,aim,intention
166,理想,名詞,抽象概念,ideal,アイディアル,,,dream,perfect vision
167,現実,名詞,抽象概念,reality,リアリティ,,,actuality,truth
168,事実,名詞,抽象概念,fact,ファクト,,,truth,actuality
169,意味,名詞,抽象概念,meaning,ミーニング,,,sense,significance
170,内容,名詞,抽象概念,content,コンテント,,,substance,details
171,種類,名詞,抽象概念,kind,カインド,,,type,category
172,部分,名詞,抽象概念,part,パート,,,portion,section
173,全体,名詞,抽象概念,whole,ホール,,,entirety,total
174,個人,名詞,社会,individual,インディビジュアル,,,private person,one person
175,集団,名詞,社会,group,グループ,,,crowd,cluster
176,組織,名詞,ビジネス,organization,オーガニゼーション,,,body,institution
177,団体,名詞,社会,association,アソシエーション,,,group,organization
178,施設,名詞,社会,facility,ファシリティ,,,institution,establishment
179,建物,名詞,日常生活,building,ビルディング,,,structure,edifice
180,部屋,名詞,日常生活,room,ルーム,,,chamber,space
181,天気,名詞,日常生活,weather,ウェザー,,,climate conditions,
182,気温,名詞,日常生活,temperature,テンパラチャー,,,heat level,
183,季節,名詞,日常生活,season,シーズン,,,time of year,
184,空気,名詞,日常生活,air,エア,,,atmosphere,
185,音,名詞,日常生活,sound,サウンド,,,noise,tone
186,声,名詞,日常生活,voice,ボイス,,,tone,utterance
187,味,名詞,日常生活,taste,テイスト,,,flavor,
188,色,名詞,日常生活,color,カラー,,,hue,shade
189,形,名詞,日常生活,shape,シェイプ,,,form,figure
190,大きさ,名詞,日常生活,size,サイズ,,,scale,dimension
191,重さ,名詞,日常生活,weight,ウェイト,,,heaviness,mass
192,高さ,名詞,日常生活,height,ハイト,,,altitude,elevation
193,速度,名詞,基本名詞,speed,スピード,,,velocity,pace
194,力,名詞,基本名詞,power,パワー,,,strength,force
195,元気,名詞,健康,energy,エナジー,,,vigor,vitality
196,病気,名詞,健康,illness,イルネス,,,sickness,disease
197,薬,名詞,健康,medicine,メディシン,,,drug,remedy
198,病院,名詞,健康,hospital,ホスピタル,,,clinic,medical center
199,医者,名詞,健康,doctor,ドクター,,,physician,
200,患者,名詞,健康,patient,ペイシェント,,,sufferer,
201,支払う,動詞,ビジネス,pay,ペイ,paid,paid,settle,compensate
202,稼ぐ,動詞,ビジネス,earn,アーン,earned,earned,make money,
203,儲ける,動詞,ビジネス,profit,プロフィット,profited,profited,make a profit,
204,投資する,動詞,ビジネス,invest,インベスト,invested,invested,put money into,fund
205,節約する,動詞,日常生活,save,セーブ,saved,saved,economize,cut costs
206,消費する,動詞,ビジネス,consume,コンシューム,consumed,consumed,use up,spend
207,生産する,動詞,ビジネス,produce,プロデュース,produced,produced,make,create
208,製造する,動詞,ビジネス,manufacture,マニュファクチャー,manufactured,manufactured,build,make
209,輸出する,動詞,ビジネス,export,エクスポート,exported,exported,ship abroad,
210,輸入する,動詞,ビジネス,import,インポート,imported,imported,bring in,
211,開発する,動詞,ビジネス,develop,ディベロップ,developed,developed,create,build
212,研究する,動詞,教育,research,リサーチ,researched,researched,study,investigate
213,発明する,動詞,教育,invent,インベント,invented,invented,create,devise
214,実験する,動詞,教育,experiment,エクスペリメント,experimented,experimented,test,trial
215,分析する,動詞,ビジネス,analyze,アナライズ,analyzed,analyzed,examine,break down
216,評価する,動詞,ビジネス,evaluate,エバリュエート,evaluated,evaluated,assess,rate
217,判断する,動詞,抽象概念,judge,ジャッジ,judged,judged,decide,assess
218,予想する,動詞,抽象概念,predict,プレディクト,predicted,predicted,forecast,anticipate
219,計算する,動詞,基本動詞,calculate,キャルキュレート,calculated,calculated,compute,work out
220,測る,動詞,基本動詞,measure,メジャー,measured,measured,gauge,assess
221,記録する,動詞,基本動詞,record,レコード,recorded,recorded,log,note down
222,削除する,動詞,ビジネス,delete,ディリート,deleted,deleted,remove,erase
223,更新する,動詞,ビジネス,update,アップデート,updated,updated,renew,refresh
224,確認する,動詞,ビジネス,confirm,コンファーム,confirmed,confirmed,verify,check
225,検討する,動詞,ビジネス,review,レビュー,reviewed,reviewed,consider,examine
226,承認する,動詞,ビジネス,approve,アプルーブ,approved,approved,authorize,sanction
227,拒否する,動詞,社会,reject,リジェクト,rejected,rejected,refuse,decline
228,禁止する,動詞,社会,prohibit,プロヒビット,prohibited,prohibited,ban,forbid
229,許可する,動詞,社会,permit,パーミット,permitted,permitted,allow,authorize
230,命令する,動詞,社会,command,コマンド,commanded,commanded,order,instruct
231,依頼する,動詞,ビジネス,request,リクエスト,requested,requested,ask for,commission
232,提出する,動詞,ビジネス,submit,サブミット,submitted,submitted,turn in,hand in
233,交換する,動詞,日常生活,exchange,エクスチェンジ,exchanged,exchanged,swap,trade
234,交渉する,動詞,ビジネス,negotiate,ネゴシエート,negotiated,negotiated,bargain,discuss terms
235,協力する,動詞,社会,cooperate,コーオペレート,cooperated,cooperated,collaborate,work together
236,参加する,動詞,社会,participate,パーティシペート,participated,participated,join,take part
237,出席する,動詞,教育,attend,アテンド,attended,attended,be present,show up
238,欠席する,動詞,教育,be absent,ビーアブセント,was absent,been absent,miss,skip
239,卒業する,動詞,教育,graduate,グラジュエート,graduated,graduated,finish school,
240,入学する,動詞,教育,enroll,エンロール,enrolled,enrolled,enter school,register
241,退職する,動詞,ビジネス,resign,リザイン,resigned,resigned,quit,step down
242,引退する,動詞,ビジネス,retire,リタイア,retired,retired,step back,leave the workforce
243,結婚する,動詞,日常生活,marry,マリー,married,married,wed,get married
244,離婚する,動詞,日常生活,divorce,ディボース,divorced,divorced,split up,end a marriage
245,妊娠する,動詞,日常生活,get pregnant,ゲットプレグナント,got pregnant,gotten pregnant,expect a baby,
246,出産する,動詞,日常生活,give birth,ギブバース,gave birth,given birth,deliver a baby,
247,引っ越す,動詞,日常生活,relocate,リロケート,relocated,relocated,move house,
248,旅行する,動詞,日常生活,travel,トラベル,traveled,traveled,take a trip,tour
249,出発する,動詞,日常生活,depart,ディパート,departed,departed,set off,leave
250,訪問する,動詞,ビジネス,visit,ビジット,visited,visited,call on,drop by
251,案内する,動詞,ビジネス,guide,ガイド,guided,guided,show around,direct
252,紹介する,動詞,社会,introduce,イントロデュース,introduced,introduced,present,recommend
253,招待する,動詞,社会,invite,インバイト,invited,invited,ask over,
254,利用する,動詞,ビジネス,utilize,ユーティライズ,utilized,utilized,use,make use of
255,活用する,動詞,ビジネス,leverage,レバレッジ,leveraged,leveraged,make the most of,exploit
256,給料,名詞,ビジネス,salary,サラリー,,,pay,wage
257,収入,名詞,ビジネス,income,インカム,,,earnings,revenue
258,支出,名詞,ビジネス,expense,エクスペンス,,,spending,outlay
259,予算,名詞,ビジネス,budget,バジェット,,,funds,allocation
260,税金,名詞,社会,tax,タックス,,,levy,duty
261,契約,名詞,ビジネス,contract,コントラクト,,,agreement,deal
262,保険,名詞,社会,insurance,インシュアランス,,,coverage,policy
263,投資,名詞,ビジネス,investment,インベストメント,,,funding,
264,株式,名詞,ビジネス,stock,ストック,,,shares,equity
265,市場,名詞,ビジネス,market,マーケット,,,marketplace,
266,需要,名詞,ビジネス,demand,ディマンド,,,want,requirement
267,供給,名詞,ビジネス,supply,サプライ,,,provision,
268,価格,名詞,ビジネス,price,プライス,,,cost,rate
269,割引,名詞,ビジネス,discount,ディスカウント,,,markdown,reduction
270,在庫,名詞,ビジネス,inventory,インベントリー,,,stock,supply
271,注文,名詞,ビジネス,order,オーダー,,,request,purchase
272,配送,名詞,ビジネス,delivery,デリバリー,,,shipping,
273,顧客,名詞,ビジネス,customer,カスタマー,,,client,patron
274,従業員,名詞,ビジネス,employee,エンプロイー,,,staff,worker
275,上司,名詞,ビジネス,boss,ボス,,,supervisor,manager
276,部下,名詞,ビジネス,subordinate,サブオーディネート,,,staff member,
277,同僚,名詞,ビジネス,colleague,カリーグ,,,coworker,peer
278,面接,名詞,ビジネス,interview,インタビュー,,,meeting,
279,履歴書,名詞,ビジネス,resume,レジュメ,,,CV,
280,資格,名詞,教育,qualification,クオリフィケーション,,,credential,certification
281,技術,名詞,ビジネス,technology,テクノロジー,,,skill,technique
282,知識,名詞,抽象概念,knowledge,ナレッジ,,,understanding,
283,経験,名詞,抽象概念,experience,エクスペリエンス,,,background,exposure
284,能力,名詞,抽象概念,ability,アビリティ,,,capability,skill
285,才能,名詞,抽象概念,talent,タレント,,,gift,aptitude
286,性格,名詞,抽象概念,personality,パーソナリティ,,,character,nature
287,態度,名詞,抽象概念,attitude,アティチュード,,,manner,stance
288,習慣,名詞,日常生活,habit,ハビット,,,custom,routine
289,伝統,名詞,社会,tradition,トラディション,,,custom,heritage
290,文化,名詞,社会,culture,カルチャー,,,customs,heritage
291,宗教,名詞,社会,religion,リリジョン,,,faith,belief
292,政治,名詞,社会,politics,ポリティクス,,,governance,
293,法律,名詞,社会,law,ロー,,,legislation,rule
294,権利,名詞,社会,right,ライト,,,entitlement,privilege
295,義務,名詞,社会,duty,デューティー,,,obligation,responsibility
296,責任,名詞,社会,responsibility,レスポンシビリティ,,,duty,accountability
297,自由,名詞,抽象概念,freedom,フリーダム,,,liberty,independence
298,平和,名詞,社会,peace,ピース,,,tranquility,harmony
299,戦争,名詞,社会,war,ウォー,,,conflict,battle
300,事件,名詞,社会,incident,インシデント,,,event,case
301,押す,動詞,基本動詞,push,プッシュ,pushed,pushed,shove,press
302,引く,動詞,基本動詞,pull,プル,pulled,pulled,draw,tug
303,触る,動詞,基本動詞,touch,タッチ,touched,touched,feel,tap
304,掴む,動詞,基本動詞,grab,グラブ,grabbed,grabbed,seize,grip
305,投げる,動詞,基本動詞,throw,スロー,threw,thrown,toss,pitch
306,蹴る,動詞,基本動詞,kick,キック,kicked,kicked,boot,strike with foot
307,叩く,動詞,基本動詞,knock,ノック,knocked,knocked,hit,tap
308,切る,動詞,日常生活,cut,カット,cut,cut,slice,chop
309,折る,動詞,日常生活,snap,スナップ,snapped,snapped,break,fold
310,焼く,動詞,日常生活,bake,ベイク,baked,baked,grill,roast
311,煮る,動詞,日常生活,boil,ボイル,boiled,boiled,simmer,stew
312,混ぜる,動詞,日常生活,mix,ミックス,mixed,mixed,blend,stir
313,冷やす,動詞,日常生活,cool,クール,cooled,cooled,chill,refrigerate
314,温める,動詞,日常生活,warm up,ウォームアップ,warmed up,warmed up,heat,reheat
315,凍る,動詞,日常生活,freeze,フリーズ,froze,frozen,ice over,
316,溶ける,動詞,日常生活,melt,メルト,melted,melted,dissolve,thaw
317,乾く,動詞,日常生活,dry,ドライ,dried,dried,dry out,
318,濡れる,動詞,日常生活,get wet,ゲットウェット,got wet,gotten wet,become wet,
319,汚れる,動詞,日常生活,get dirty,ゲットダーティー,got dirty,gotten dirty,become dirty,
320,掃除する,動詞,日常生活,clean,クリーン,cleaned,cleaned,tidy,scrub
321,片付ける,動詞,日常生活,tidy up,タイディーアップ,tidied up,tidied up,put away,organize
322,完成する,動詞,ビジネス,complete,コンプリート,completed,completed,finish,accomplish
323,訳す,動詞,教育,translate,トランスレート,translated,translated,interpret,render
324,発音する,動詞,教育,pronounce,プロナウンス,pronounced,pronounced,articulate,say
325,説得する,動詞,社会,persuade,パースエイド,persuaded,persuaded,convince,talk into
326,誘う,動詞,社会,ask out,アスクアウト,asked out,asked out,invite,tempt
327,断る,動詞,社会,turn down,ターンダウン,turned down,turned down,decline,refuse
328,頼む,動詞,日常生活,ask a favor,アスクアフェイバー,asked a favor,asked a favor,request,beg
329,手伝う,動詞,日常生活,assist,アシスト,assisted,assisted,lend a hand,aid
330,着替える,動詞,日常生活,change clothes,チェンジクローズ,changed clothes,changed clothes,get changed,
331,運転する,動詞,日常生活,drive,ドライブ,drove,driven,operate a vehicle,
332,飛ぶ,動詞,基本動詞,fly,フライ,flew,flown,soar,take flight
333,泳ぐ,動詞,日常生活,swim,スイム,swam,swum,paddle,
334,登る,動詞,日常生活,climb,クライム,climbed,climbed,ascend,scale
335,降りる,動詞,日常生活,get off,ゲットオフ,got off,gotten off,descend,disembark
336,乗る,動詞,日常生活,ride,ライド,rode,ridden,board,get on
337,渡る,動詞,日常生活,cross,クロス,crossed,crossed,go across,traverse
338,曲がる,動詞,日常生活,turn,ターン,turned,turned,bend,curve
339,滑る,動詞,日常生活,slip,スリップ,slipped,slipped,slide,skid
340,転ぶ,動詞,日常生活,fall over,フォールオーバー,fell over,fallen over,tumble,trip
341,頭,名詞,身体,head,ヘッド,,,skull,mind
342,目,名詞,身体,eye,アイ,,,vision,gaze
343,耳,名詞,身体,ear,イヤー,,,hearing,
344,鼻,名詞,身体,nose,ノーズ,,,snout,
345,口,名詞,身体,mouth,マウス,,,lips,
346,歯,名詞,身体,tooth,トゥース,,,teeth,
347,首,名詞,身体,neck,ネック,,,throat,
348,肩,名詞,身体,shoulder,ショルダー,,,,
349,腕,名詞,身体,arm,アーム,,,limb,
350,手,名詞,身体,hand,ハンド,,,palm,
351,指,名詞,身体,finger,フィンガー,,,digit,
352,足,名詞,身体,leg,レッグ,,,foot,limb
353,膝,名詞,身体,knee,ニー,,,,
354,髪,名詞,身体,hair,ヘア,,,,
355,顔,名詞,身体,face,フェイス,,,visage,
356,お茶,名詞,食べ物,tea,ティー,,,,
357,パン,名詞,食べ物,bread,ブレッド,,,loaf,
358,肉,名詞,食べ物,meat,ミート,,,,
359,魚,名詞,食べ物,fish,フィッシュ,,,seafood,
360,野菜,名詞,食べ物,vegetable,ベジタブル,,,produce,greens
361,果物,名詞,食べ物,fruit,フルーツ,,,,
362,卵,名詞,食べ物,egg,エッグ,,,,
363,牛乳,名詞,食べ物,milk,ミルク,,,,
364,砂糖,名詞,食べ物,sugar,シュガー,,,,
365,塩,名詞,食べ物,salt,ソルト,,,,
366,店,名詞,場所,shop,ショップ,,,store,
367,駅,名詞,場所,station,ステーション,,,,
368,空港,名詞,場所,airport,エアポート,,,,
369,公園,名詞,場所,park,パーク,,,,
370,図書館,名詞,場所,library,ライブラリー,,,,
371,銀行,名詞,場所,bank,バンク,,,,
372,郵便局,名詞,場所,post office,ポストオフィス,,,,
373,教室,名詞,場所,classroom,クラスルーム,,,,
374,大学,名詞,教育,university,ユニバーシティ,,,college,
375,工場,名詞,ビジネス,factory,ファクトリー,,,plant,
376,飛行機,名詞,乗り物,airplane,エアプレイン,,,plane,
377,船,名詞,乗り物,ship,シップ,,,boat,vessel
378,自転車,名詞,乗り物,bicycle,バイシクル,,,bike,
379,バス,名詞,乗り物,bus,バス,,,,
380,電車,名詞,乗り物,train,トレイン,,,,
381,雨,名詞,自然,rain,レイン,,,rainfall,
382,雪,名詞,自然,snow,スノー,,,,
383,風,名詞,自然,wind,ウィンド,,,breeze,
384,木,名詞,自然,tree,ツリー,,,,
385,花,名詞,自然,flower,フラワー,,,blossom,
386,草,名詞,自然,grass,グラス,,,,
387,石,名詞,自然,stone,ストーン,,,rock,
388,土,名詞,自然,soil,ソイル,,,earth,dirt
389,砂,名詞,自然,sand,サンド,,,,
390,星,名詞,自然,star,スター,,,,
391,服,名詞,家具・家電,clothes,クローズ,,,clothing,attire
392,靴,名詞,家具・家電,shoes,シューズ,,,footwear,
393,帽子,名詞,家具・家電,hat,ハット,,,cap,
394,かばん,名詞,家具・家電,bag,バッグ,,,,
395,椅子,名詞,家具・家電,chair,チェア,,,seat,
396,机,名詞,家具・家電,desk,デスク,,,table,
397,ベッド,名詞,家具・家電,bed,ベッド,,,,
398,冷蔵庫,名詞,家具・家電,refrigerator,リフリジレーター,,,fridge,
399,テレビ,名詞,家具・家電,television,テレビジョン,,,TV,
400,携帯電話,名詞,家具・家電,mobile phone,モバイルフォン,,,cellphone,
401,朝,名詞,基本名詞,morning,モーニング,,,dawn,
402,昼,名詞,基本名詞,noon,ヌーン,,,midday,
403,夜,名詞,基本名詞,night,ナイト,,,evening,
404,週,名詞,基本名詞,week,ウィーク,,,,
405,月,名詞,基本名詞,month,マンス,,,,
406,年,名詞,基本名詞,year,イヤー,,,,
407,曜日,名詞,基本名詞,day of the week,デイオブザウィーク,,,,
408,年齢,名詞,基本名詞,age,エイジ,,,,
409,今,名詞,基本名詞,now,ナウ,,,at present,
410,昔,名詞,基本名詞,long ago,ロングアゴー,,,old times,
411,数字,名詞,教育,number,ナンバー,,,figure,digit
412,合計,名詞,ビジネス,total,トータル,,,sum,
413,平均,名詞,ビジネス,average,アベレージ,,,mean,
