優先度,日本語,品詞,カテゴリ,英単語,カタカナ読み,過去形,過去分詞,類義語
2168,定義,名詞,教育,definition,デフィニション,,,
2169,用語,名詞,教育,terminology,ターミノロジー,,,
2170,専門用語,名詞,教育,jargon,ジャーゴン,,,technical terms
2171,略語,名詞,教育,abbreviation,アブリビエーション,,,
2172,比喩,名詞,教育,metaphor,メタファー,,,
2173,象徴,名詞,抽象概念,symbol,シンボル,,,
2174,暗示,名詞,抽象概念,implication,インプリケーション,,,hint
2175,強調,名詞,ビジネス,emphasis,エンファシス,,,stress
2176,指摘,名詞,ビジネス,pointing out,ポインティングアウト,,,remark
2177,木材,名詞,日常生活,wood (material),ウッド,,,lumber
2178,金属,名詞,日常生活,metal,メタル,,,
2179,プラスチック,名詞,日常生活,plastic,プラスチック,,,
2180,ガラス,名詞,日常生活,glass (material),グラスマテリアル,,,
2181,ゴム,名詞,日常生活,rubber,ラバー,,,
2182,布,名詞,日常生活,cloth,クロス,,,fabric
2183,皮革,名詞,日常生活,leather,レザー,,,
2184,紙,名詞,日常生活,paper,ペーパー,,,
2185,石材,名詞,日常生活,stonework,ストーンワーク,,,masonry
2186,陶器,名詞,日常生活,ceramics,セラミックス,,,pottery
2187,情緒,名詞,感情,emotion,エモーション,,,
2188,気分,名詞,感情,mood,ムード,,,
2189,機嫌,名詞,感情,temper,テンパー,,,humor
2190,心境,名詞,感情,state of mind,ステートオブマインド,,,
2191,葛藤,名詞,感情,inner conflict,インナーコンフリクト,,,turmoil
2192,動揺,名詞,感情,agitation,アジテーション,,,upset
2193,安らぎ,名詞,感情,serenity,セレニティ,,,peace of mind
2194,焦り,名詞,感情,impatience,インペイシェンス,,,
2195,戸惑い,名詞,感情,bewilderment,ビワイルダーメント,,,confusion
2196,満足感,名詞,感情,sense of fulfillment,センスオブフルフィルメント,,,
2197,考え直す,動詞,抽象概念,reconsider,リコンシダー,reconsidered,reconsidered,rethink
2198,見直す,動詞,ビジネス,reassess,リアセス,reassessed,reassessed,re-examine
2199,思いつく,動詞,抽象概念,come up with,カムアップウィズ,came up with,come up with,
2200,気に入る,動詞,感情,take a liking to,テイクアライキングトゥ,took a liking to,taken a liking to,
2201,役立つ,動詞,抽象概念,be useful,ビーユースフル,was useful,been useful,help
2202,気をつける,動詞,日常生活,be careful,ビーケアフル,was careful,been careful,watch out
2203,仲良くする,動詞,社会,get along with,ゲットアロングウィズ,got along with,gotten along with,befriend
2204,支える,動詞,社会,support (prop up),サポート,supported,supported,hold up
2205,乗り越える,動詞,抽象概念,get through,ゲットスルー,got through,gotten through,overcome
2206,楽しみにする,動詞,感情,look forward to,ルックフォワードトゥ,looked forward to,looked forward to,
2207,習い事,名詞,教育,extracurricular lesson,エクストラカリキュラーレッスン,,,
2208,部活,名詞,教育,club activity,クラブアクティビティ,,,
2209,生徒会,名詞,教育,student council,スチューデントカウンシル,,,
2210,文化祭,名詞,教育,school festival,スクールフェスティバル,,,
2211,体育祭,名詞,教育,sports festival,スポーツフェスティバル,,,
2212,修学旅行,名詞,教育,educational trip,エデュケーショナルトリップ,,,school excursion
2213,卒業アルバム,名詞,教育,yearbook,イヤーブック,,,
2214,通学,名詞,教育,commuting to school,コミューティングトゥスクール,,,
2215,下校,名詞,教育,leaving school,リービングスクール,,,
2216,登校,名詞,教育,going to school,ゴーイングトゥスクール,,,
2217,授業参観,名詞,教育,class observation,クラスオブザベーション,,,
2218,保護者,名詞,教育,guardian (parent),ガーディアン,,,
2219,担任,名詞,教育,homeroom teacher,ホームルームティーチャー,,,
2220,校長,名詞,教育,principal,プリンシパル,,,headmaster
2221,教頭,名詞,教育,vice principal,バイスプリンシパル,,,
2222,部長,名詞,教育,team captain,チームキャプテン,,,club leader
2223,幹事,名詞,ビジネス,organizer (event),オーガナイザー,,,coordinator
2224,顧問,名詞,教育,advisor (club),アドバイザー,,,
2225,同級生,名詞,教育,grade-mate,グレードメイト,,,classmate
2226,恩師,名詞,教育,respected teacher,リスペクテッドティーチャー,,,mentor teacher
2227,母校,名詞,教育,alma mater,アルママーター,,,
2228,進路,名詞,教育,career path,キャリアパス,,,
2229,進路指導,名詞,教育,career guidance,キャリアガイダンス,,,
2230,就活,名詞,ビジネス,job hunting,ジョブハンティング,,,job search
2231,面接官,名詞,ビジネス,interviewer,インタビュアー,,,
2232,内定,名詞,ビジネス,job offer,ジョブオファー,,,informal offer
2233,開発者,名詞,ビジネス,developer,デベロッパー,,,
2234,プロデューサー,名詞,ビジネス,producer,プロデューサー,,,
2235,ディレクター,名詞,ビジネス,director (game),ディレクター,,,
2236,シナリオライター,名詞,ビジネス,scenario writer,シナリオライター,,,
2237,キャラクターデザイナー,名詞,ビジネス,character designer,キャラクターデザイナー,,,
2238,声優,名詞,趣味,voice actor,ボイスアクター,,,
2239,作曲家,名詞,趣味,composer (music),コンポーザー,,,
2240,イラストレーター,名詞,趣味,illustrator,イラストレーター,,,
2241,プログラマー,名詞,テクノロジー,programmer,プログラマー,,,
2242,パブリッシャー,名詞,ビジネス,game publisher,ゲームパブリッシャー,,,
2243,続編,名詞,趣味,sequel,シークエル,,,
2244,前作,名詞,趣味,previous installment,プレビアスインスタルメント,,,
2245,新作,名詞,趣味,new release,ニューリリース,,,
2246,発売日,名詞,ビジネス,release date,リリースデート,,,
2247,予約特典,名詞,ビジネス,pre-order bonus,プリオーダーボーナス,,,
2248,体験版,名詞,趣味,demo version,デモバージョン,,,trial version
2249,攻略,名詞,趣味,strategy guide,ストラテジーガイド,,,walkthrough
2250,裏技,名詞,趣味,hidden trick,ヒドゥントリック,,,secret technique
2251,隠しキャラ,名詞,趣味,hidden character,ヒドゥンキャラクター,,,
2252,ラスボス,名詞,趣味,final boss,ファイナルボス,,,
2253,セーブ,名詞,趣味,save (game),ゲームセーブ,,,
2254,ロード,名詞,趣味,load (game),ゲームロード,,,
2255,アップデート版,名詞,テクノロジー,game patch,ゲームパッチ,,,
2256,プレイスルー,名詞,趣味,playthrough,プレイスルー,,,
2257,難易度,名詞,趣味,difficulty (game),ディフィカルティ,,,
2258,チェックポイント,名詞,趣味,checkpoint,チェックポイント,,,
2259,リスポーン,名詞,趣味,respawn,リスポーン,,,
2260,実績,名詞,趣味,achievement (game),アチーブメント,,,
2261,トロフィー,名詞,趣味,trophy (game),トロフィー,,,
2262,リーダーボード,名詞,趣味,leaderboard,リーダーボード,,,ranking board
2263,取材,名詞,ビジネス,coverage (reporting),カバレッジ,,,reporting
2264,編集部,名詞,ビジネス,editorial department,エディトリアルデパートメント,,,
2265,連載,名詞,趣味,serialization,シリアライゼーション,,,
2266,コラム,名詞,趣味,column (writing),コラム,,,
2267,寄稿,名詞,趣味,contribution (writing),コントリビューション,,,
2268,匿名,名詞,社会,anonymity,アノニミティ,,,
2269,実名,名詞,社会,real name,リアルネーム,,,
2270,掲載,名詞,ビジネス,publication (being published),パブリケーション,,,
2271,配信,名詞,テクノロジー,streaming (distribution),ストリーミング,,,
2272,プレスリリース,名詞,ビジネス,press release,プレスリリース,,,
2273,感想,名詞,趣味,thoughts (opinion),ソウツ,,,review comment
2274,賛否両論,名詞,社会,mixed reactions,ミックストリアクションズ,,,
2275,反響,名詞,社会,public reaction,パブリックリアクション,,,response
2276,話題,名詞,社会,topic of conversation,トピックオブカンバセーション,,,
2277,炎上,名詞,社会,online backlash,オンラインバックラッシュ,,,
2278,バズる,動詞,社会,go viral,ゴーバイラル,went viral,gone viral,
2279,話題性,名詞,社会,buzz,バズ,,,
2280,リツイート,名詞,テクノロジー,retweet,リツイート,,,
2281,コメント欄,名詞,テクノロジー,comment section,コメントセクション,,,
2282,匿名投稿,名詞,テクノロジー,anonymous post,アノニマスポスト,,,
2283,感動,名詞,感情,being moved (touched),ビーイングムーブド,,,being touched
2284,共感,名詞,感情,empathy,エンパシー,,,relating to
2285,違和感,名詞,感情,sense of discomfort,センスオブディスコンフォート,,,wrongness
2286,手応え,名詞,感情,sense of response,センスオブレスポンス,,,feedback
2287,醍醐味,名詞,感情,true pleasure,トゥループレジャー,,,essence of enjoyment
2288,こだわり,名詞,感情,particular attention to detail,パティキュラーアテンション,,,commitment
2289,覚悟,名詞,感情,resolve (readiness),リゾルブ,,,determination to face
2290,驚き,名詞,感情,astonishment,アストニッシュメント,,,amazement
2291,妥協,名詞,ビジネス,compromise,コンプロマイズ,,,
2292,信念,名詞,感情,firm belief,ファームビリーフ,,,conviction
2293,感受性,名詞,感情,sensitivity,センシティビティ,,,
2294,個性,名詞,感情,individuality,インディビジュアリティ,,,
2295,独自性,名詞,感情,originality,オリジナリティ,,,
2296,斬新さ,名詞,感情,novelty,ノベルティ,,,freshness
2297,独特さ,名詞,感情,uniqueness,ユニークネス,,,distinctiveness
2298,創造性,名詞,抽象概念,creativity,クリエイティビティ,,,
2299,芸術性,名詞,抽象概念,artistic sense,アーティスティックセンス,,,
2300,世界観,名詞,趣味,worldview (setting),ワールドビュー,,,fictional universe
2301,雰囲気,名詞,抽象概念,atmosphere (mood),アトモスフィア,,,vibe
2302,美的感覚,名詞,趣味,aesthetic sense,エステティックセンス,,,
2303,主人公,名詞,趣味,protagonist,プロタゴニスト,,,main character
2304,敵役,名詞,趣味,villain,ヴィラン,,,antagonist
2305,脇役,名詞,趣味,supporting character,サポーティングキャラクター,,,side character
2306,伏線,名詞,趣味,foreshadowing,フォーシャドーイング,,,
2307,結末,名詞,趣味,ending (story),エンディング,,,conclusion
2308,どんでん返し,名詞,趣味,plot twist,プロットツイスト,,,
2309,クライマックス,名詞,趣味,climax,クライマックス,,,
2310,エピローグ,名詞,趣味,epilogue,エピローグ,,,
2311,プロローグ,名詞,趣味,prologue,プロローグ,,,
2312,舞台設定,名詞,趣味,story setting,ストーリーセッティング,,,
2313,苛立ち,名詞,感情,irritation,イリテーション,,,annoyance
2314,寂しさ,名詞,感情,loneliness,ロンリネス,,,
2315,虚しさ,名詞,感情,emptiness,エンプティネス,,,hollowness
2316,切なさ,名詞,感情,longing,ロンギング,,,wistfulness
2317,懐かしさ,名詞,感情,nostalgia,ノスタルジア,,,
2318,ワクワク感,名詞,感情,thrill of anticipation,スリルオブアンティシペーション,,,excitement
2319,温かさ,名詞,感情,warmth (emotional),ウォームス,,,
2320,冷たさ,名詞,感情,coldness (emotional),コールドネス,,,
2321,安心感,名詞,感情,sense of ease,センスオブイーズ,,,peace of mind
2322,緊張感,名詞,感情,tension (emotional),テンション,,,
2323,ジャンル,名詞,趣味,genre,ジャンル,,,
2324,原作,名詞,趣味,original work,オリジナルワーク,,,source material
2325,原作者,名詞,ビジネス,original creator,オリジナルクリエーター,,,
2326,脚本,名詞,趣味,script (screenplay),スクリプト,,,screenplay
2327,脚本家,名詞,ビジネス,screenwriter,スクリーンライター,,,
2328,アニメ,名詞,趣味,anime,アニメ,,,
2329,漫画家,名詞,ビジネス,manga artist,マンガアーティスト,,,
2330,ファンアート,名詞,趣味,fan art,ファンアート,,,
2331,コラボ,名詞,ビジネス,collaboration (collab),コラボレーション,,,
2332,グッズ,名詞,ビジネス,merchandise,マーチャンダイス,,,
2333,疑問,名詞,抽象概念,uncertainty (doubt),アンサートゥンティ,,,question
2334,自然,名詞,自然,nature,ネイチャー,,,
2335,賛成,名詞,社会,support (approval),サポート,,,agreement
2336,反対,名詞,社会,objection,オブジェクション,,,disagreement
2337,言語,名詞,教育,language,ランゲージ,,,
2338,基盤,名詞,ビジネス,infrastructure (base),インフラストラクチャー,,,foundation
2339,移行,名詞,ビジネス,transition,トランジション,,,migration
2340,動き,名詞,基本名詞,movement,ムーブメント,,,motion
2341,実施,名詞,ビジネス,implementation,インプリメンテーション,,,execution
2342,制御,名詞,テクノロジー,control,コントロール,,,
2343,可能,名詞,抽象概念,feasibility,フィージビリティ,,,possibility
2344,不可能,名詞,抽象概念,impossibility,インポッシビリティ,,,
2345,従来,名詞,ビジネス,convention (existing practice),コンベンション,,,status quo
2346,使用,名詞,日常生活,usage,ユーセージ,,,
2347,追加,名詞,ビジネス,addition (extra),エクストラアディション,,,supplement
2348,照射,名詞,テクノロジー,irradiation,イラディエーション,,,exposure
2349,有効,名詞,ビジネス,validity,バリディティ,,,effectiveness
2350,無効,名詞,ビジネス,invalidity,インバリディティ,,,
2351,現状,名詞,ビジネス,current state,カレントステート,,,status quo
2352,対象,名詞,ビジネス,subject (target),サブジェクト,,,object
2353,該当,名詞,ビジネス,applicable case,アプリカブルケース,,,relevant case
2354,新しい,形容詞,基本形容詞,new,ニュー,,,
2355,古い,形容詞,基本形容詞,old,オールド,,,
2356,大きい,形容詞,基本形容詞,big,ビッグ,,,large
2357,小さい,形容詞,基本形容詞,small,スモール,,,little
2358,高い,形容詞,基本形容詞,high,ハイ,,,tall,expensive
2359,低い,形容詞,基本形容詞,low,ロー,,,
2360,長い,形容詞,基本形容詞,long,ロング,,,
2361,短い,形容詞,基本形容詞,short,ショート,,,
2362,広い,形容詞,基本形容詞,wide,ワイド,,,spacious
2363,狭い,形容詞,基本形容詞,cramped,クランプド,,,narrow
2364,多い,形容詞,基本形容詞,many,メニー,,,numerous
2365,少ない,形容詞,基本形容詞,scarce (few),スカース,,,
2366,良い,形容詞,基本形容詞,good,グッド,,,
2367,悪い,形容詞,基本形容詞,bad,バッド,,,
2368,強い,形容詞,基本形容詞,strong,ストロング,,,
2369,弱い,形容詞,基本形容詞,weak,ウィーク,,,
2370,早い,形容詞,基本形容詞,early,アーリー,,,
2371,速い,形容詞,基本形容詞,fast,ファスト,,,quick
2372,遅い,形容詞,基本形容詞,late (slow),レイト,,,
2373,近い,形容詞,基本形容詞,near,ニア,,,close
2374,遠い,形容詞,基本形容詞,far,ファー,,,distant
2375,重い,形容詞,基本形容詞,heavy,ヘビー,,,
2376,軽い,形容詞,基本形容詞,light (weight),ライト,,,
2377,厚い,形容詞,基本形容詞,thick,シック,,,
2378,薄い,形容詞,基本形容詞,thin,シン,,,
2379,深い,形容詞,基本形容詞,deep,ディープ,,,
2380,浅い,形容詞,基本形容詞,shallow,シャロー,,,
2381,明るい,形容詞,基本形容詞,bright,ブライト,,,
2382,暗い,形容詞,基本形容詞,dark,ダーク,,,
2383,暖かい,形容詞,基本形容詞,warm,ウォーム,,,
2384,寒い,形容詞,基本形容詞,cold (weather),コールド,,,
2385,熱い,形容詞,基本形容詞,hot,ホット,,,
2386,冷たい,形容詞,基本形容詞,cold (touch),コールドタッチ,,,
2387,美しい,形容詞,基本形容詞,beautiful,ビューティフル,,,
2388,汚い,形容詞,基本形容詞,dirty,ダーティ,,,filthy
2389,難しい,形容詞,基本形容詞,difficult,ディフィカルト,,,hard
2390,易しい,形容詞,基本形容詞,easy,イージー,,,simple
2391,楽しい,形容詞,基本形容詞,fun,ファン,,,enjoyable
2392,悲しい,形容詞,基本形容詞,sad,サッド,,,
2393,嬉しい,形容詞,基本形容詞,happy,ハッピー,,,glad
2394,寂しい,形容詞,基本形容詞,lonely,ロンリー,,,
2395,怖い,形容詞,基本形容詞,scary,スケアリー,,,frightening
2396,危ない,形容詞,基本形容詞,dangerous,デンジャラス,,,risky
2397,忙しい,形容詞,基本形容詞,busy,ビジー,,,
2398,面白い,形容詞,基本形容詞,interesting,インタレスティング,,,fun
2399,つまらない,形容詞,基本形容詞,boring,ボーリング,,,dull
2400,かわいい,形容詞,基本形容詞,cute,キュート,,,adorable
2401,かっこいい,形容詞,基本形容詞,cool (stylish),クール,,,stylish
2402,優しい,形容詞,基本形容詞,gentle,ジェントル,,,kind-hearted
2403,厳しい,形容詞,基本形容詞,strict,ストリクト,,,harsh
2404,痛い,形容詞,基本形容詞,painful (physical),ペインフル,,,sore
2405,眠い,形容詞,基本形容詞,sleepy,スリーピー,,,drowsy
2406,苦しい,形容詞,基本形容詞,painful (suffering),サファリング,,,tough
2407,恥ずかしい,形容詞,基本形容詞,embarrassing,エンバラシング,,,ashamed
2408,懐かしい,形容詞,基本形容詞,nostalgic,ノスタルジック,,,
2409,珍しい,形容詞,基本形容詞,rare,レア,,,unusual
2410,詳しい,形容詞,基本形容詞,detailed,ディテールド,,,knowledgeable
2411,正しい,形容詞,基本形容詞,correct,コレクト,,,right
2412,若い,形容詞,基本形容詞,young,ヤング,,,
2413,親しい,形容詞,基本形容詞,close (friendly),クロース,,,intimate
2414,激しい,形容詞,基本形容詞,intense,インテンス,,,fierce
2415,辛い,形容詞,基本形容詞,spicy,スパイシー,,,hot (taste)
2416,甘い,形容詞,基本形容詞,sweet,スイート,,,
2417,苦い,形容詞,基本形容詞,bitter,ビター,,,
2418,硬い,形容詞,基本形容詞,hard (firm),ハード,,,firm
2419,柔らかい,形容詞,基本形容詞,soft,ソフト,,,
2420,鋭い,形容詞,基本形容詞,sharp,シャープ,,,
2421,鈍い,形容詞,基本形容詞,dull,ダル,,,slow-witted
2422,うまい,形容詞,基本形容詞,delicious,デリシャス,,,skillful
2423,まずい,形容詞,基本形容詞,bad-tasting,バッドテイスティング,,,unpleasant
2424,探索,名詞,趣味,exploration,エクスプロレーション,,,
2425,移動,名詞,日常生活,transit,トランジット,,,
2426,到着,名詞,日常生活,arrival,アライバル,,,
2427,待機,名詞,ビジネス,standby,スタンバイ,,,
2428,制約,名詞,ビジネス,constraint,コンストレイント,,,
2429,解放,名詞,抽象概念,liberation,リベレーション,,,release
2430,調整,名詞,ビジネス,adjustment,アジャストメント,,,
2431,発売,名詞,ビジネス,release (sale),セール,,,launch
2432,延びる,動詞,ビジネス,be pushed back,ビープッシュトバック,was pushed back,been pushed back,be delayed
2433,順調,名詞,ビジネス,smooth progress,スムースプログレス,,,favorable
2435,納期,名詞,ビジネス,delivery deadline,デリバリーデッドライン,,,
2436,着手,名詞,ビジネス,initiation (of work),イニシエーション,,,start
2437,経緯,名詞,抽象概念,history,ヒストリー,,,background,circumstances
2438,携わる,動詞,ビジネス,engage in,エンゲージイン,engaged in,engaged in,take part in
2439,担当,名詞,ビジネス,being in charge,ビーイングインチャージ,,,charge
2440,収録,名詞,趣味,recording session,レコーディングセッション,,,
2441,限界,名詞,抽象概念,limit,リミット,,,
2442,超える,動詞,抽象概念,exceed,イクシード,exceeded,exceeded,go beyond
2443,変,名詞,感情,strangeness (oddness),ストレンジネス,,,weirdness
2444,構成,名詞,趣味,structure (composition),ストラクチャー,,,
2445,起用,名詞,ビジネス,casting (appointment),キャスティング,,,
2446,歴史,名詞,教育,chronicle,クロニクル,,,history
2447,記念,名詞,社会,commemoration,コメモレーション,,,
2448,苦労,名詞,感情,hardship,ハードシップ,,,trouble
2449,演技,名詞,趣味,acting (performance),アクティング,,,
2450,校正,名詞,ビジネス,proofreading,プルーフリーディング,,,
2451,発見,名詞,教育,discovery,ディスカバリー,,,
2452,再現,名詞,趣味,reproduction (recreation),リプロダクション,,,
2453,熱狂,名詞,感情,frenzy,フレンジー,,,enthusiasm
2454,貴重,名詞,抽象概念,preciousness (value),プレシャスネス,,,
2455,貢献,名詞,ビジネス,contribution (to a cause),コントリビューション,,,
2456,圧巻,名詞,趣味,breathtaking,ブレイクテイキング,,,highlight
2457,刷新,名詞,ビジネス,overhaul,オーバーホール,,,revamp
2458,迫力,名詞,趣味,impact,インパクト,,,power
2459,心地よい,形容詞,基本形容詞,pleasant,プレザント,,,comfortable
2460,快感,名詞,感情,pleasure,プレジャー,,,gratification
2461,育成,名詞,趣味,training (character development),キャラクタートレーニング,,,nurturing
2462,編成,名詞,趣味,lineup (formation),ラインナップ,,,organization
2463,試行錯誤,名詞,抽象概念,trial and error,トライアルアンドエラー,,,
2464,幅,名詞,基本名詞,range (width),レンジ,,,scope
2465,継承,名詞,抽象概念,succession (inheritance),サクセッション,,,
2466,融合,名詞,抽象概念,fusion,フュージョン,,,blend
2467,圧倒,名詞,感情,overwhelm,オーバーウェルム,,,
2468,没頭,名詞,感情,immersion,イマージョン,,,absorption
2469,王道,名詞,趣味,mainstream approach,メインストリームアプローチ,,,classic path
2470,手触り,名詞,趣味,tactile feel,タクタイルフィール,,,texture
2471,引き継ぎ,名詞,ビジネス,carryover,キャリーオーバー,,,handover
2472,絵柄,名詞,趣味,art style,アートスタイル,,,
2473,出来栄え,名詞,趣味,workmanship,ワークマンシップ,,,finished quality
2474,熱量,名詞,感情,intensity (energy),インテンシティ,,,fervor
2475,味わい,名詞,趣味,flavor (nuance),フレーバー,,,taste
2476,工夫,名詞,抽象概念,ingenuity,インジェニュイティ,,,creative device
2477,姿勢,名詞,抽象概念,stance,スタンス,,,attitude
2478,予感,名詞,感情,premonition,プリモニション,,,feeling
2479,傑作,名詞,趣味,masterpiece,マスターピース,,,
2480,台詞,名詞,趣味,line (dialogue),ダイアログライン,,,
2481,所属,名詞,ビジネス,affiliation,アフィリエーション,,,
2482,登場,名詞,趣味,appearance (entrance),アピアランス,,,entrance
2483,思い出す,動詞,抽象概念,recall,リコール,recalled,recalled,remember
2484,必要,名詞,抽象概念,need (necessity),ニード,,,necessity
2485,妄想,名詞,感情,fantasy (delusion),ファンタジー,,,delusion
2486,言葉,名詞,基本名詞,word,ワード,,,expression
2487,挑発する,動詞,社会,provoke,プロヴォーク,provoked,provoked,taunt
2488,挑発,名詞,社会,provocation,プロヴォケーション,,,taunt
2489,威圧,名詞,社会,intimidation,インティミデーション,,,coercion
2490,名言,名詞,趣味,famous quote,フェイマスクオート,,,memorable line
2491,人生,名詞,基本名詞,life (one's life),ライフ,,,
2492,基本的,名詞,抽象概念,basic (fundamental),ベーシック,,,fundamental
2493,基本,名詞,抽象概念,fundamentals,ファンダメンタルズ,,,basics
2494,視聴,名詞,趣味,viewing (watching),ビューイング,,,
2495,革命,名詞,社会,revolution,レボリューション,,,
2496,見事,名詞,趣味,magnificence,マグニフィセンス,,,splendor
2497,定番,名詞,ビジネス,staple item,ステープルアイテム,,,classic choice
2498,魅力,名詞,趣味,charm (appeal),チャーム,,,attraction
2499,作品,名詞,趣味,creative work,クリエイティブワーク,,,piece of work
2500,楽曲,名詞,趣味,musical piece,ミュージカルピース,,,song
2501,綺麗,名詞,趣味,prettiness (cleanliness),プリティネス,,,neatness
2502,特別,名詞,抽象概念,specialness,スペシャルネス,,,
2503,感情,名詞,感情,feelings (emotion),フィーリングズ,,,
2504,可愛い,形容詞,基本形容詞,adorable,アドラブル,,,cute
2505,純粋,名詞,感情,purity,ピュリティ,,,innocence
2506,傷,名詞,健康,wound (scratch),ウーンド,,,cut
2507,心,名詞,感情,heart (mind),ハート,,,mind
2508,夢中,名詞,感情,engrossment,エングロスメント,,,absorption
2509,反応,名詞,抽象概念,reaction,リアクション,,,
2510,攻撃,名詞,趣味,attack,アタック,,,assault
2511,参照,名詞,ビジネス,reference,レファレンス,,,
2512,発動,名詞,趣味,activation,アクティベーション,,,
2513,戦い,名詞,趣味,battle,バトル,,,
2514,合同,名詞,ビジネス,combined effort,コンバインドエフォート,,,joint
2515,社員,名詞,ビジネス,company employee,カンパニーエンプロイー,,,
2516,開催,名詞,ビジネス,hosting (an event),ホスティング,,,holding
2517,特定,名詞,ビジネス,identification (specifying),アイデンティフィケーション,,,specification
2518,衝突,名詞,社会,collision,コリジョン,,,clash
2519,導入,名詞,ビジネス,adoption (introducing),アドプション,,,
2520,変身,名詞,趣味,transformation,トランスフォーメーション,,,
2521,蓄積,名詞,ビジネス,buildup,ビルドアップ,,,accumulation
2522,倒す,動詞,趣味,defeat,ディフィート,defeated,defeated,knock down
2523,仕組み,名詞,抽象概念,mechanism,メカニズム,,,structure
2524,用意,名詞,日常生活,getting ready,ゲッティングレディ,,,readying
2525,演出,名詞,趣味,staging (presentation),ステージング,,,
2526,技,名詞,趣味,technique (skill move),テクニック,,,
2527,変化,名詞,抽象概念,change (noun),チェンジ,,,shift
2528,通常,名詞,ビジネス,the norm,ノーム,,,usual
2529,自動,名詞,テクノロジー,automatic,オートマティック,,,
2530,迷い,名詞,感情,hesitation,ヘジテーション,,,indecision
2531,選べる,動詞,趣味,selectable,セレクタブル,,,choosable
2532,出展,名詞,ビジネス,exhibiting (at a show),エキシビティング,,,
2533,仕様,名詞,テクノロジー,specifications,スペシフィケーションズ,,,specs
2534,武器,名詞,趣味,weapon,ウェポン,,,
2535,特殊,名詞,抽象概念,peculiarity (special),ペキュリアリティ,,,uniqueness
2536,要素,名詞,抽象概念,factor (component),ファクター,,,element
2537,弱点,名詞,趣味,weak point,ウィークポイント,,,weakness
2538,感触,名詞,趣味,sensation (feel),センセーション,,,
2539,機種,名詞,テクノロジー,model (device type),モデル,,,
2540,公開,名詞,ビジネス,public release,パブリックリリース,,,disclosure
2541,初心者,名詞,教育,beginner,ビギナー,,,novice
2542,機会,名詞,ビジネス,opportunity,オポチュニティ,,,chance
2543,体制,名詞,ビジネス,system (organizational),オーガニゼーショナルシステム,,,structure
2544,意見,名詞,社会,opinion,オピニオン,,,viewpoint
2545,投稿,名詞,テクノロジー,post (online),オンラインポスト,,,submission
2546,表情,名詞,感情,facial expression,フェイシャルエクスプレッション,,,
2547,耐久,名詞,ビジネス,durability,デュラビリティ,,,endurance
2548,強化,名詞,ビジネス,reinforcement,リインフォースメント,,,strengthening
2549,体験,名詞,趣味,hands-on experience,ハンズオンエクスペリエンス,,,
2550,装着,名詞,テクノロジー,equipping,イクイッピング,,,attachment
2551,方針,名詞,ビジネス,policy (direction),ポリシー,,,guideline
2552,制作,名詞,趣味,production (creative),クリエイティブプロダクション,,,
2553,簡単,名詞,抽象概念,simplicity,シンプリシティ,,,ease
2554,仕掛け,名詞,趣味,gimmick,ギミック,,,trick
